SourceIdentifier,VendorGivenName,BACnetName,BACnetDescription,BACnetUnit,BACnetTypeStr
513_0_3005086,AP&M.RM-1260.ZN-T,NAE 13 N2 Trunk 1 VAV 19 ZN T,Zone Temperature,64,Analog Input
513_0_3005088,AP&M.RM-1311.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 20 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005090,AP&M.RM-1311.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 20 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005104,AP&M.RM-1311.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 20 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005108,AP&M.RM-1311.WC-ADJ,NAE 13 N2 Trunk 1 VAV 20 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005109,AP&M.RM-1311.ZN-T,NAE 13 N2 Trunk 1 VAV 20 ZN T,Zone Temperature,64,Analog Input
513_0_3005111,AP&M.RM-1313.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 21 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005113,AP&M.RM-1313.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 21 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005127,AP&M.RM-1313.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 21 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005131,AP&M.RM-1313.WC-ADJ,NAE 13 N2 Trunk 1 VAV 21 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005132,AP&M.RM-1313.ZN-T,NAE 13 N2 Trunk 1 VAV 21 ZN T,Zone Temperature,64,Analog Input
513_0_3005134,AP&M.RM-1408.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 23 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005136,AP&M.RM-1408.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 23 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005150,AP&M.RM-1408.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 23 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005154,AP&M.RM-1408.WC-ADJ,NAE 13 N2 Trunk 1 VAV 23 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005155,AP&M.RM-1408.ZN-T,NAE 13 N2 Trunk 1 VAV 23 ZN T,Zone Temperature,64,Analog Input
513_0_3005157,AP&M.RM-1412.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 24 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005159,AP&M.RM-1412.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 24 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005173,AP&M.RM-1412.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 24 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005177,AP&M.RM-1412.WC-ADJ,NAE 13 N2 Trunk 1 VAV 24 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005178,AP&M.RM-1412.ZN-T,NAE 13 N2 Trunk 1 VAV 24 ZN T,Zone Temperature,64,Analog Input
513_0_3005180,AP&M.RM-B301B.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 25 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005182,AP&M.RM-B301B.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 25 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005196,AP&M.RM-B301B.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 25 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005200,AP&M.RM-B301B.WC-ADJ,NAE 13 N2 Trunk 1 VAV 25 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005201,AP&M.RM-B301B.ZN-T,NAE 13 N2 Trunk 1 VAV 25 ZN T,Zone Temperature,64,Analog Input
513_0_3005203,AP&M.RM-B325B.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 26 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005205,AP&M.RM-B325B.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 26 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005219,AP&M.RM-B325B.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 26 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005223,AP&M.RM-B325B.WC-ADJ,NAE 13 N2 Trunk 1 VAV 26 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005224,AP&M.RM-B325B.ZN-T,NAE 13 N2 Trunk 1 VAV 26 ZN T,Zone Temperature,64,Analog Input
513_0_3005226,AP&M.RM-B301WB.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 30 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005228,AP&M.RM-B301WB.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 30 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005242,AP&M.RM-B301WB.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 30 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005246,AP&M.RM-B301WB.WC-ADJ,NAE 13 N2 Trunk 1 VAV 30 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005247,AP&M.RM-B301WB.ZN-T,NAE 13 N2 Trunk 1 VAV 30 ZN T,Zone Temperature,64,Analog Input
513_0_3005249,AP&M.RM-B337B.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 31 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005251,AP&M.RM-B337B.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 31 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005265,AP&M.RM-B337B.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 31 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005269,AP&M.RM-B337B.WC-ADJ,NAE 13 N2 Trunk 1 VAV 31 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005270,AP&M.RM-B337B.ZN-T,NAE 13 N2 Trunk 1 VAV 31 ZN T,Zone Temperature,64,Analog Input
513_0_3005272,AP&M.RM-B349B.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 32 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005274,AP&M.RM-B349B.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 32 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005288,AP&M.RM-B349B.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 32 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005292,AP&M.RM-B349B.WC-ADJ,NAE 13 N2 Trunk 1 VAV 32 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005293,AP&M.RM-B349B.ZN-T,NAE 13 N2 Trunk 1 VAV 32 ZN T,Zone Temperature,64,Analog Input
513_0_3005295,AP&M.RM-B432B.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 33 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005297,AP&M.RM-B432B.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 33 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005311,AP&M.RM-B432B.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 33 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005315,AP&M.RM-B432B.WC-ADJ,NAE 13 N2 Trunk 1 VAV 33 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005316,AP&M.RM-B432B.ZN-T,NAE 13 N2 Trunk 1 VAV 33 ZN T,Zone Temperature,64,Analog Input
513_0_3005318,AP&M.RM-B432C.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 34 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005320,AP&M.RM-B432C.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 34 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005334,AP&M.RM-B432C.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 34 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005338,AP&M.RM-B432C.WC-ADJ,NAE 13 N2 Trunk 1 VAV 34 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005339,AP&M.RM-B432C.ZN-T,NAE 13 N2 Trunk 1 VAV 34 ZN T,Zone Temperature,64,Analog Input
513_0_3005341,AP&M.RM-1305.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 35 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005343,AP&M.RM-1305.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 35 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005357,AP&M.RM-1305.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 35 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005361,AP&M.RM-1305.WC-ADJ,NAE 13 N2 Trunk 1 VAV 35 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005362,AP&M.RM-1305.ZN-T,NAE 13 N2 Trunk 1 VAV 35 ZN T,Zone Temperature,64,Analog Input
513_0_3005365,AP&M.AHU1-LVFD.CURRENT,NAE 13 N2 Trunk 1 VFD 1 CURRENT,Load Current,3,Analog Input
513_0_3005366,AP&M.AHU1-LVFD.DRV-TMP,NAE 13 N2 Trunk 1 VFD 1 DRV TMP,VFD Temperature,62,Analog Input
513_0_3005367,AP&M.AHU1-LVFD.ENERGY-K,NAE 13 N2 Trunk 1 VFD 1 ENERGY K,VFD Energy kWh,19,Analog Input
513_0_3005369,AP&M.AHU1-LVFD.ENERGY-M,NAE 13 N2 Trunk 1 VFD 1 ENERGY M,VFD Energy MWh,49,Analog Input
513_0_3005372,AP&M.AHU1-LVFD.FREQ,NAE 13 N2 Trunk 1 VFD 1 FREQ,Output Frequency,27,Analog Input
513_0_3005376,AP&M.AHU1-LVFD.LAST-FLT,NAE 13 N2 Trunk 1 VFD 1 LAST FLT,Last Fault Code,95,Analog Input
513_0_3005379,AP&M.AHU1-LVFD.POWER,NAE 13 N2 Trunk 1 VFD 1 POWER,Motor Power,98,Analog Input
513_0_3005381,AP&M.AHU1-LVFD.SPEED,NAE 13 N2 Trunk 1 VFD 1 SPEED,Motor Speed,104,Analog Input
513_0_3005382,AP&M.AHU1-LVFD.TORQUE,NAE 13 N2 Trunk 1 VFD 1 TORQUE,Motor Torque,98,Analog Input
513_0_3005387,AP&M.AHU1-RVFD.CURRENT,NAE 13 N2 Trunk 1 VFD 2 CURRENT,Load Current,3,Analog Input
513_0_3005388,AP&M.AHU1-RVFD.DRV-TMP,NAE 13 N2 Trunk 1 VFD 2 DRV TMP,VFD Temperature,62,Analog Input
513_0_3005389,AP&M.AHU1-RVFD.ENERGY-K,NAE 13 N2 Trunk 1 VFD 2 ENERGY K,VFD Energy kWh,19,Analog Input
513_0_3005391,AP&M.AHU1-RVFD.ENERGY-M,NAE 13 N2 Trunk 1 VFD 2 ENERGY M,VFD Energy MWh,49,Analog Input
513_0_3005394,AP&M.AHU1-RVFD.FREQ,NAE 13 N2 Trunk 1 VFD 2 FREQ,Output Frequency,27,Analog Input
513_0_3005398,AP&M.AHU1-RVFD.LAST-FLT,NAE 13 N2 Trunk 1 VFD 2 LAST FLT,Last Fault Code,95,Analog Input
513_0_3005401,AP&M.AHU1-RVFD.POWER,NAE 13 N2 Trunk 1 VFD 2 POWER,Motor Power,98,Analog Input
513_0_3005403,AP&M.AHU1-RVFD.SPEED,NAE 13 N2 Trunk 1 VFD 2 SPEED,Motor Speed,104,Analog Input
513_0_3005404,AP&M.AHU1-RVFD.TORQUE,NAE 13 N2 Trunk 1 VFD 2 TORQUE,Motor Torque,98,Analog Input
513_0_3005409,AP&M.AHU2-RVFD.CURRENT,NAE 13 N2 Trunk 1 VFD 3 CURRENT,Load Current,3,Analog Input
513_0_3005410,AP&M.AHU2-RVFD.DRV-TMP,NAE 13 N2 Trunk 1 VFD 3 DRV TMP,VFD Temperature,62,Analog Input
513_0_3005411,AP&M.AHU2-RVFD.ENERGY-K,NAE 13 N2 Trunk 1 VFD 3 ENERGY K,VFD Energy kWh,19,Analog Input
