SourceIdentifier,VendorGivenName,BACnetName,BACnetDescription,BACnetUnit,BACnetTypeStr
505_0_3001708,EBU3B.RM-1207..ZN-T,NAE 05 N2 2 VMA 107 ZN T,Zone Temperature/ Telecom room.,64,Analog Input
506_0_3001291,EBU3B.RM-2209..ZN-T,NAE 06 N2 1 VMA107 ZN T,Zone Temperature,64,Analog Input
506_0_3002976,EBU3B.RM-3132..ZN-T,NAE 06 N2 2 VMA107 ZN T,Zone Temperature,64,Analog Input
505_0_3000984,EBU3B.RM-B260A..ZN-T,NAE 05 N2 1 VMA 107 ZN T,Zone Temperature,64,Analog Input
505_0_3001713,EBU3B.RM-1207..SUP-FLOW,NAE 05 N2 2 VMA 107 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3001296,EBU3B.RM-2209..SUP-FLOW,NAE 06 N2 1 VMA107 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3002982,EBU3B.RM-3132..SUP-FLOW,NAE 06 N2 2 VMA107 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3000990,EBU3B.RM-B260A..SUP-FLOW,NAE 05 N2 1 VMA 107 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3002980,EBU3B.RM-3132..ACTHTGSP,NAE 06 N2 2 VMA107 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3000988,EBU3B.RM-B260A..ACTHTGSP,NAE 05 N2 1 VMA 107 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3001711,EBU3B.RM-1207..ACTCLGSP,NAE 05 N2 2 VMA 107 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3001294,EBU3B.RM-2209..ACTCLGSP,NAE 06 N2 1 VMA107 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3002979,EBU3B.RM-3132..ACTCLGSP,NAE 06 N2 2 VMA107 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3000987,EBU3B.RM-B260A..ACTCLGSP,NAE 05 N2 1 VMA 107 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3001712,EBU3B.RM-1207..DMPR-POS,NAE 05 N2 2 VMA 107 DMPR POS,Damper Position,98,Analog Input
506_0_3001295,EBU3B.RM-2209..DMPR-POS,NAE 06 N2 1 VMA107 DMPR POS,Damper Position,98,Analog Input
506_0_3002981,EBU3B.RM-3132..DMPR-POS,NAE 06 N2 2 VMA107 DMPR POS,Damper Position,98,Analog Input
